sroilga tashrif buyurdi.", "paraphrase_2": "Yaqin Sharqdagi tinchlik muzokaralarini qo‘llab-quvvatlash uchun Robert Geyts va Jorj Mitchell Isroilda dushanba kuni ko‘rishdilar."},
{"text": "Seshanba kuni abortga qarshi faol o\\", "paraphrase_1": "Kanzas shtatidagi bir cherkovda abortga qarshi faol kechki soatda abort provayderini o\\", "paraphrase_2": "Mahalliy OAV xabariga ko\\"},
{"text": "AQSh prezidenti Barak Obama payshanba kuni dramaning qolgan ikki asosiy aktyori bilan Oq uyda pivo ichish orqali o\\", "paraphrase_1": "Rasmiylarning xabar berishicha, AQSh prezidenti Barak Obama payshanba kuni Oq uyda dramaning ikkita bosh roldagi ijodkorlari bilan pivo ichib, birinchi mojaroga yechim topishga urinadi.", "paraphrase_2": "Payshanba kuni Barak Obama Oq uyda dramaning ikki asosiy aktyori bilan uchrashib, pivo ichish orqali muddatidagi birinchi ziddiyatni hal qilishga harakat qilmoqda, deya xabar bermoqda rasmiylar."},
{"text": "Minglab voyaga etmaganlar poraxo", "paraphrase_1": "Advokatlar Pensilvaniya shtatidagi federal sudga poraxo", "paraphrase_2": "Poraxo"},
{"text": "Seshanba kuni Microsoft korporatsiyasi Internet Explorer brauzeridagi xavfsizlik nuqsonini bartaraf etish uchun yangilanish e’lon qildi, bu esa xakerlarning hujumlaridan himoya qiladi.", "paraphrase_1": "Microsoft kompaniyasi seshanba kuni Internet Explorer brauzeridagi zaiflikni tuzatuvchi xavfsizlik yangiligini e’lon qildi.", "paraphrase_2": "Xakerlar tomonidan Internet Explorer brauzeridagi kamchiliklardan foydalanishning oldini olish maqsadida, Microsoft seshanba kuni xavfsizlik yangiligini chiqardi."},
{"text": "Seshanba kuni AQSh prezidenti Barak Obamaning Lotin Amerikasidagi ikki oliy diplomatik lavozimga tanlovi Senatning asosiy hay’ati tomonidan ma’qullandi, ammo yakuniy tasdiqlash yo’lida to’siqlar saqlanib qoldi.", "paraphrase_1": "Barak Obama tomonidan Lotin Amerikasi uchun tayinlangan ikki diplomat Senat qo’mitasi tomonidan ro’yxatga kiritildi, biroq ularning tasdiqlanishi uchun hali ko‘plab bosqichlardan o’tish kerak.", "paraphrase_2": "Senatning asosiy hay’ati AQSh prezidenti Barak Obamaning Lotin Amerikasi bo’yicha yuqori lavozimli vakillarini ma’qulladi, lekin to’liq tasdiqlash jarayoni hali yakunlanmagan."},
{"text": "Kaliforniyalik bir kishi o‘tgan yilgi prezidentlik saylovlari davrida Barak Obamaga qarshi irqchi tahdidlarda bo‘lganligi uchun aybdor deb topildi, dedi adliya rasmiylari.", "paraphrase_1": "Adliya rasmiylarining xabar berishicha, Kaliforniyalik shaxs o‘tgan yilgi prezidentlik kampaniyasida Barak Obamaga irqiy xususdagi tahdidlar qilgani aniqlangan.", "paraphrase_2": "O‘tgan yilgi prezidentlik saylovlari paytida Barak Obamaga nisbatan irqiy motivda tahdidlarda bo‘lganlikda Kaliforniyalik bir fuqaro aybdor deb topildi, deya xabar qildi adliya vakillari."},
{"text": "Greenpeace ekologik tashkiloti faollari Hewlett Packardni nishonga olib, kompaniya shtab-kvartirasida shior yordamida ularning mahsulotlarida zaharli materiallardan foydalangani uchun ayblashdi.", "paraphrase_1": "Hewlett Packard kompaniyasi o‘z mahsulotlarida zaharli moddalardan foydalangani sababli Greenpeace faollari tomonidan tanqid qilindi.", "paraphrase_2": "Greenpeace tashkiloti Hewlett Packardning shtab-kvartirasida o‘tkazilgan aksiyada kompaniyani mahsulotlarida zararli materiallar ishlatishda aybladi."},
{"text": "AQSh Mudofaa vaziri Robert Geyts Bag", "paraphrase_1": "Robert Geyts Iroqda xavfsizlik kuchlarining mustaqil operatsiyasi tufayli AQSh harbiy kontingenti kamroq ishtirok etadigan yangi bosqich boshlanganini eʼlon qildi.", "paraphrase_2": "Bag"},
{"text": "Nigeriya shimolidagi shaharning qo", "paraphrase_1": "Nigeriya shimolida joylashgan bir shaharda, minomyot otishlari sabab aholi qo", "paraphrase_2": "Minomyotlar kuchli otishi natijasida Nigeriya shimolidagi shahar aholisi dahshatga tushdi va jasadlar to"},
{"text": "Seshanba kuni politsiya va federal agentlar Maykl Jekson shifokorining Las-Vegasdagi uyiga bostirib kirishdi, chunki ish bo", "paraphrase_1": "Maykl Jekson shifokoriga nisbatan jinoiy ish ochilishi mumkinligi sababli politsiya va federal agentlar seshanba kuni uning Las-Vegasdagi uyini tintib-tekshirishdi.", "paraphrase_2": "Jinoiy ayblovlar bo"},
{"text": "Seshanba kuni AQSh Mudofaa vaziri Robert Geyts Iroqdagi yangi davr haqida gapirdi, chunki Bag", "paraphrase_1": "Robert Geyts seshanba kuni Iroqda xavfsizlik boshqaruvida amerikalik askarlarning roli kamayib borayotganini eʼlon qildi.", "paraphrase_2": "AQSh Mudofaa vaziri Robert Geyts Iroqdagi vaziyatning o‘zgarishi, Bag"},
{"text": "Guvohlarning so‘zlariga ko‘ra, seshanba kuni Nigeriya kuchlari masjid va islomiy fundamentalistik oqim yetakchisining uyini o‘qqa tutgach, 470 dan ortiq odam halok bo‘lgan shiddatli to‘qnashuvlarning uchinchi kuni boshlangan.", "paraphrase_1": "Seshanba kuni Nigeriya kuchlari masjid va islomiy fundamentalistik oqim yetakchisining uyiga hujum qilganda yuzaga kelgan to‘qnashuvlarda 470 dan ortiq odam halok bo‘ldi, bu voqea tinchlikni buzuvchi shiddatli to‘qnashuvlarning uchinchi kuni edi.", "paraphrase_2": "Guvohlarning ma’lumotlariga ko‘ra, Nigeriya qurolli kuchlari tomonidan masjid va islomiy radikal guruh yetakchisini maqsad qilgan hujum oqibatida 470 dan ziyod inson qurbon bo‘lgan shiddatli mojaro uchinchi kuniga qadam qo‘ydi."},
{"text": "Ubisoft seshanba kuni yaqinlashib kelayotgan universal suratlar filmi asosida videooʻyin tayyorlayotganini eʼlon qildi, unda qahramon oʻz orzusidagi ayolni yutib olish uchun yovuz sobiq yigitlari bilan kurashadi.", "paraphrase_1": "Seshanba kuni Ubisoft katta kinokompaniya bilan hamkorlikda suratga olingan yangi film asosida videooʻyin yaratayotganligi haqida xabar berdi. Oʻyindagi asosiy qahramon sevgilisini qoʻlga kiritish uchun uning sobiq yigitlariga qarshi kurashadi.", "paraphrase_2": "Ubisoft yangi videooʻyinini taqdim etdi, u Universal filmining syujetiga asoslangan boʻlib, unda bosh qahramon oʻzining sevimli qizining eʼtiborini qozonish uchun raqiblar bilan jang qiladi."},
{"text": "Seshanba kuni Meksika shahri aprel oyida Meksikada cho‘chqa grippi epidemiyasi boshlanganidan keyin qo‘rqib ketgan mehmonlarni qaytarish uchun sayyohlar uchun bepul sug‘urta joriy qildi.", "paraphrase_1": "Cho‘chqa grippi epidemiyasi aprel oyida Meksikada boshlangach, Meksika shahri sayyohlarni jalb qilish maqsadida seshanba kuni bepul sug‘urta taqdim etdi.", "paraphrase_2": "Meksika shahri seshanba kuni cho‘chqa grippi sababli sayyohlar o‘rtasida uyg‘ongan xavotirni kamaytirish uchun sayyohlarga bepul sug‘urta qilishni boshladi."},
{"text": "Seshanba kuni Amerika Qo", "paraphrase_1": "AQSh va Xitoy seshanba kuni iqlim o‘zgarishi va savdo masalalarida hamkorlik qilishga kelishib oldilar.", "paraphrase_2": "Tinch okeani mintaqasidagi ikki yirik davlat - Amerika Qo‘shma Shtatlari va Xitoy o’zaro yaqinroq hamkorlikni boshlash uchun iqlim o’zgarishiga qarshi kurashish va erkin savdoni kengaytirishga kelishdi."},
{"text": "Byatt va Jm Coetzee kabi adabiy og", "paraphrase_1": "Seshanba kuni e’lon qilingan 2000 yilgi Buker mukofoti nomzodlari orasida Byatt va Jm Coetzee kabi taniqli adiblar ham bor.", "paraphrase_2": "2000 yilgi Buker mukofatiga nomzodlik qilgan 34 nafar yozuvchi ro‘yxatiga taniqli adiblar, jumladan, Byatt va Jm Coetzee kirishdi."},
{"text": "Nigeriya shimolidagi bir shaharning kuchli minomyot otishlaridan qochib ketgan, daxlsatdan lo‘ttiyodgan aholisi, koridorlari yangi jasadlar bilan to‘ldirilgan politsiya bo‘limida xavfsizlik izladi.", "paraphrase_1": "Nigeriyaning shimoliy qismidagi bir shaharda yashaydiganlari minomyotdan qochib, politsiya bo‘limida boshpana topishga harakat qilishdi, ammo u yerda koridorlarda qurbonlar yotgan edi.", "paraphrase_2": "Minomyot otishlari sabab Nigeriya shimolidagi aholi daxlsatga tushib, politsiya bo‘limiga qochdi, afsuski, bo‘lim koridorlari jasadlarga to‘la edi."},
{"text": "AQShning uchinchi yirik simsiz aloqa operatori Sprint Nextel seshanba kuni AQShning Virgin Mobile mobil telefonini 633 million dollarlik birja bitimida sotib olayotganini e’lon qildi.", "paraphrase_1": "Sprint Nextel seshanba kuni Virgin Mobile’ni 633 million dollarga sotib olishga kelishib oldi.", "paraphrase_2": "Seshanba kuni eʼlon qilinganidek, Sprint Nextel AQShning Virgin Mobile kompaniyasini 633 million dollar evaziga sotib oladi."},
{"text": "Seshanba kuni AQSh qimmatli qog", "paraphrase_1": "Ikki hafta davomida o‘sib borayotgan AQSh qimmatli qog", "paraphrase_2": "Seshanba kuni AQSh qimmatli qog"},
{"text": "Guvohlarning so‘zlariga ko‘ra, seshanba kuni bu yerda Nigeriya kuchlari masjid va islomiy fundamentalistik oqim yetakchisining uyini o‘qqa tutgach, 254 dan ortiq odam halok bo‘lgan shiddatli to‘qnashuvlarning uchinchi kuni boshlangan.", "paraphrase_1": "Nigeriya kuchlari tomonidan masjid va islomiy fundamentalistik oqim yetakchisining uyiga qilingan hujum oqibatida 254 dan ortiq odam halok bo‘ldi, bu shiddatli to‘qnashuvlarning uchinchi kuni edi, deydi guvohlar.", "paraphrase_2": "Seshanba kuni Nigeriya kuchlari masjid va islomiy fundamentalistik oqim yetakchisining uyini o‘qqa tutgani sababli 254 dan ortiq inson qurbon bo‘lgan, bu voqea shiddatli to‘qnashuvlarning davom etishini ko‘rsatdi, guvohlarning xabariga ko‘ra."},
{"text": "AQSh Davlat departamenti seshanba kuni AQSh Davlat departamentining ma\\", "paraphrase_1": "Seshanba kuni AQSh Davlat departamenti Xitoyga Pekindagi karantindagi amerikalik fuqarolar haqida o\\", "paraphrase_2": "AQSh Davlat departamentining xabariga ko\\"},
{"text": "Nigeriya kuchlari seshanba kuni 795 dan ortiq odamning hayotiga zomin bo‘lgan shiddatli to‘qnashuvlarning uchinchi kunida masjid va islomiy fundamentalistik oqim yetakchisining uyini o‘qqa tutdi.", "paraphrase_1": "Seshanba kuni Nigeriya armiyasi 795 dan ortiq kishi halok bo‘lgan to‘qnashuvlarning davomida masjidni va islomiy radikal guruh rahbarining uyini nishonga oldi.", "paraphrase_2": "795 kishidan ortiq qurbon bo‘lgan shiddatli kurashning uchinchi kuni Nigeriya kuchlari masjid hamda islomiy ekstremistlar yetakchisining qarorgohiga hujum qildi."},
{"text": "Kamerunning G‘arbiy Limbe shahri qirg‘oqlarida kema cho‘kib ketganidan keyin seshanba kuni 12 kishi bedarak yo‘qoldi, biroq yana besh kishi qutqarib olindi, deb xabar berdi Kamerun davlat radiosi Lrb Rrb.", "paraphrase_1": "Seshanba kuni Kamerunning Limbe shahrida kema halokatiga uchrab, 12 kishi yo‘qolib qoldi, yana 5 nafari qutqarildi, bu haqda Kamerun davlat radiosi xabar bermoqda.", "paraphrase_2": "Kamerun davlat radiosi LRB RRB xabariga koʻra, Gʻarbiy Limbe qirgʻoqlarida kema choʻkishi oqibatida 12 kishi bedarak, 5 nafari esa qutqarilgan."},
{"text": "Seshanba kuni tong otganda bank o‘g‘rilari kamida 2,2 million dollar pul olib, Iroqdagi eng yirik xurujlardan birida sakkiz nafar politsiyachini o‘ldirishdi.", "paraphrase_1": "Iroqda seshanba kuni sodir bo‘lgan bank o‘g‘irligi oqibatida sakkiz nafar politsiyachi halok bo‘ldi, o‘g‘rilar kamida 2,2 million dollar o‘g‘irlab ketishdi.", "paraphrase_2": "Seshanba kuni Iroqdagi bankni o‘g‘irlab, sakkiz nafar politsiyachini o‘ldirgan jinoyatchilar 2,2 million dollar olib qochishdi."},
{"text": "Isroil Bosh vaziri Binyamin Netanyaxu seshanba kuni G", "paraphrase_1": "Binyamin Netanyaxu, seshanba kuni qilgan bayonotida, G", "paraphrase_2": "Isroilning Bosh vaziri Binyamin Netanyaxu Hamasning G"},
